
1295.65 33238 29 189243 83818 29449
1296.19 38574 22 216952 89262 29961
1296.79 35408 32 177959 76856 29387
1297.39 37531 30 179077 77027 29057
1298.05 33586 33 165847 74060 28187
1298.68 32933 13 223547 91305 28588
1299.31 31181 14 206625 82575 27909
1299.91 33946 17 167671 68823 23406
1300.35 30990 15 170226 74187 23888
1300.86 32532 18 212378 88266 28016
1301.54 33702 18 247820 89119 29961
1302.34 36105 21 239231 100439 29961
1303.08 36037 27 199860 89483 29162
1303.79 36732 31 189915 78843 29419
1304.48 35755 25 221230 84684 29419
1305.22 36739 28 210362 86384 29449
1306.05 35322 22 235123 88241 29479
1306.85 40108 23 244944 90921 29961
1307.64 33623 23 216856 84289 29222
1308.38 34427 29 197188 79746 29027
1309.07 39176 32 178652 72452 29027
1309.73 35388 32 181086 77321 28740
1310.39 34704 32 199953 79271 29222
1311.03 41746 34 194535 75619 29222
1311.69 37132 36 188741 74304 28935
1312.33 40072 36 188821 74792 29387
1312.92 35707 32 203820 81847 29674
1313.52 39148 38 198238 83136 29961
1314.11 37018 35 194819 82612 29299
1314.64 37934 32 208930 82446 29299
1315.22 34301 12 265964 89717 28065
1315.78 33973 15 248918 85811 29299
1316.33 39841 32 183638 76624 28667
1316.85 39036 28 187369 71173 27373
1317.34 36175 20 178425 70190 26109
1317.84 32445 16 184770 73672 24181
1318.31 32503 14 173494 67016 20854
1318.76 31838 15 193928 75269 23232
1319.39 34374 17 217368 88553 27493
1320.16 36258 25 235053 96099 29961
1320.90 35255 32 170385 80683 29387
1321.50 35368 31 195726 88582 29479
1322.07 37115 23 241013 105454 29961
1322.78 36151 13 298491 108145 29961
1323.51 34663 18 255650 117183 29961
1324.15 34085 11 292104 122519 29961
1324.77 34723 16 277998 103996 29222
1325.58 35383 23 247807 104720 29674
1326.42 33834 16 274978 109587 29961
1327.12 34758 9 311306 128844 29961
1327.88 34703 11 295501 108478 29961
1328.60 42874 18 246368 95889 28967
1329.28 35419 26 202302 89425 29509
1329.97 35028 15 262987 100070 29961
1330.83 33840 21 249072 92193 29961
1331.67 35723 26 223444 83058 29299
1332.49 33403 25 221867 83042 29299
1333.35 37094 23 233869 81878 29299
1334.21 38843 22 243990 88565 29961
1335.05 33748 28 206508 91800 29961
1335.88 38468 27 228706 84226 29961
1336.67 36900 26 235425 91163 29449
1337.49 36713 11 267937 87194 29299
1338.24 39720 16 278308 96255 23055
1339.02 35688 16 265878 100867 28155
1339.83 35894 19 239251 94869 27463
1340.66 35064 17 232949 81873 28005
1341.42 33376 16 233801 85962 26711
1342.16 32791 23 170367 67928 24875
1342.71 31876 17 202349 77211 27523
1343.15 31700 21 196117 79146 27523
1343.62 31981 20 196065 80229 26229
1344.14 31124 24 179068 72840 26199
1344.63 32984 23 180905 70294 25477
1345.16 30485 16 202859 77593 24725
1345.73 34999 22 210811 75200 25387
1346.34 34524 24 216952 85540 20138
1346.99 34025 26 216010 83130 29299
1347.62 35289 24 237891 97203 29961
1348.31 36001 32 212538 84306 29299
1349.00 38224 29 206589 80528 29961
1349.70 33189 28 200931 82544 28877
1350.36 37141 29 198395 79755 25675
1351.01 32566 30 194941 82271 25732
1351.65 32658 8 253403 96981 29674
1352.32 40194 20 205040 85395 27326
1353.02 36096 21 208635 80408 28740
1353.70 35779 20 175573 75106 24775
1354.27 31779 18 176277 71927 24068
1354.85 31170 19 177566 79223 25891
1355.25 35264 19 226564 85673 29674
1355.87 35042 22 218152 83342 29419
1356.57 35618 26 196557 79951 29449
1357.25 34218 14 248256 90063 29961
1358.07 31051 22 159257 74498 25852
1358.63 31434 23 137053 59125 23159
1359.13 30977 19 158744 64097 23731
1359.60 27498 21 133235 53861 20991
1360.02 26489 7 139409 53983 21214
1360.37 25917 14 77187 35044 15762
1360.65 28304 17 108625 53399 23183
1361.02 27940 8 184376 75064 25231
1361.46 31407 24 132508 59157 25021
1361.98 28511 20 152723 62945 24087
1362.51 31088 12 150069 60134 25818
1362.92 34927 26 148578 65192 24991
1363.40 31342 28 135547 68963 27926
1363.91 31753 25 143039 70195 26722
1364.42 31410 20 159415 62806 23922
1364.90 29912 24 124898 55859 25006
1365.39 28387 19 117613 54489 22461
1365.81 29849 21 115706 52512 24057
1366.24 29591 24 103510 57500 24689
1366.67 28641 15 137761 57802 22688
1367.16 29093 22 126842 58321 22778
1367.68 29419 14 158303 66984 23200
1368.20 29029 25 111105 52905 22372
1368.70 29491 22 123234 55857 22808
1369.22 27780 24 111218 54866 22808
1369.72 29328 24 112585 53285 24269
1370.20 29269 24 113822 55359 25458
1370.66 31712 25 108233 64853 24479
1371.11 27908 26 101638 53450 19303
1371.56 30488 18 133263 59236 23140
1372.15 30927 15 193429 77650 26319
1372.73 32510 31 155940 73274 27718
1373.39 29726 27 137606 61579 25852
1373.89 30679 24 150835 65204 26681
1374.44 32644 31 156970 67692 28065
1375.07 29878 5 271698 98519 28155
1375.71 31261 10 236814 93314 28095
1376.41 31883 24 173275 67083 27463
1377.01 31138 15 195968 73032 26831
1377.65 31518 24 182101 68760 26921
1378.31 30570 10 213019 79566 26169
1378.88 32088 25 190193 78889 28371
1379.59 29600 23 170652 65853 25008
1380.32 30727 19 214253 90382 28637
1381.11 33497 25 212577 80968 27975
1381.91 33109 30 183302 83097 28637
1382.72 32606 23 215610 93241 29387
1383.44 28207 3 191673 80506 22607
1383.93 28614 26 125809 55994 25233
1384.33 29115 25 98468 48598 22975
1384.65 28424 17 156430 73305 23425
1385.02 34354 28 142814 69671 27099
1385.48 30708 22 152606 71530 25921
1385.89 29494 20 171638 69630 26176
1386.34 28632 15 181378 76085 26705
1386.75 29689 16 161472 73400 25096
1387.24 31422 19 158680 68578 26797
1387.75 28272 7 170634 67115 23213
1388.23 31507 13 207832 76743 26782
1388.81 27833 12 186791 75891 24976
1389.32 31194 18 162861 68478 26482
1389.83 30995 21 155823 70318 27084
1390.36 32061 17 168037 73471 27234
1390.86 28948 20 158780 66248 25820
1391.34 31148 16 187866 80677 28967
1391.77 33318 7 271867 95746 27793
1392.15 45779 24 189671 84971 28335
1392.60 33151 32 148538 77923 27101
1393.00 37388 26 182830 90054 29299
1393.39 32715 21 173110 81129 28275
1393.79 34165 26 173552 74423 28787
1394.17 30644 23 189855 81942 28245
1394.57 35653 27 226649 97233 29961
1394.95 36900 26 234493 104291 29961
1395.41 32492 19 218091 84308 27296
1395.90 29931 25 155003 88053 27356
1396.32 31169 29 159431 72608 23931
1396.72 34284 30 181929 81496 29961
1397.19 35377 26 197190 81888 28817
1397.66 33080 31 197465 81450 29961
1398.12 34995 27 194814 92162 29299
1398.56 33626 28 191024 88316 29479
1399.04 35829 31 198119 94155 29329
1399.53 36942 34 182220 87167 28667
1399.99 34444 35 185296 78466 28125
1400.54 32974 25 192427 83330 29961
1401.07 28258 8 205526 91370 26120
1401.53 31029 32 141769 71293 28335
1402.08 31313 31 142401 71328 27958
1402.55 33608 29 147380 73360 28078
1403.11 30377 22 152473 72301 27868
1403.66 31066 27 110343 61030 26857
1404.15 26695 11 157349 69584 24421
1404.61 30919 19 130336 62753 22416
1405.04 27609 5 208687 92210 23864
1405.35 30856 24 157557 70963 25835
1405.80 41308 25 168172 73231 26949
1406.21 31731 21 174883 74859 28727
1406.63 32265 19 196692 72842 26409
1407.07 30554 13 186911 70268 24421
1407.56 31280 15 201597 74706 25790
1408.19 37698 19 235066 98582 24402
1409.15 36891 12 288704 114439 29961
1410.04 38014 23 196418 77754 28847
1410.71 36911 30 187800 84337 29961
1411.46 39624 28 217710 93685 29479
1412.35 37920 30 202708 82737 29479
1413.21 39417 30 200237 82885 29509
1414.05 33165 32 167231 71643 27718
1414.86 37550 26 163414 66464 26681
1415.62 32848 26 168865 67652 23734
1416.37 38242 29 176165 67339 26681
1417.14 34114 29 192106 83342 28637
1417.87 35723 29 198814 77344 28667
1418.54 35971 33 188264 81193 28637
1419.09 41389 33 195950 77614 29299
1419.60 36472 25 217872 90704 28727
1420.10 36161 11 293487 124365 29299
1420.64 34539 6 320969 123139 29961
1421.27 40867 15 276186 102433 29961
