
1295.65 88627 11.36
1296.60 116195 8.62
1298.05 120313 8.33
1298.49 75476 13.33
1299.12 118326 8.47
1299.91 152183 6.58
1300.12 50802 20.00
1302.34 195559 5.13
1303.79 165713 6.06
1304.98 97217 10.31
1305.51 126245 7.94
1306.05 143896 6.99
1306.59 108027 9.26
1307.15 106109 9.43
1307.64 135699 7.41
1308.88 114937 8.77
1309.30 125309 8.00
1309.99 92319 10.87
1310.19 127847 7.87
1311.03 181085 5.52
1313.35 71092 14.08
1313.52 146536 6.85
1313.94 100450 10.00
1314.47 61513 16.39
1316.17 104968 9.62
1318.17 86797 11.63
1318.31 74695 13.51
1319.66 142335 7.04
1321.31 79969 12.66
1324.15 119896 8.40
1324.30 90922 11.11
1325.89 123366 8.13
1326.91 86199 11.63
1332.21 166430 6.02
1335.88 132674 7.58
1340.66 138581 7.25
1341.18 104518 9.62
1341.42 172649 5.81
1341.93 141639 7.09
1342.58 42009 23.81
1344.99 108741 9.26
1349.94 78703 12.82
1350.60 126554 7.94
1352.58 88919 11.36
1353.70 149256 6.71
1354.08 123830 8.13
1355.11 94395 10.64
1355.67 85194 11.76
1356.10 113424 8.85
1356.57 132289 7.58
1357.80 155523 6.45
1358.30 120881 8.33
1360.15 90305 11.11
1360.90 29947 34.48
1361.02 134744 7.46
1362.18 57679 17.54
1363.24 108511 9.26
1363.75 59486 16.95
1364.26 105061 9.52
1365.09 58841 17.24
1366.41 94551 10.64
1366.54 41305 24.39
1366.99 110234 9.09
1367.16 99266 10.10
1367.53 52698 19.23
1368.54 64065 15.62
1369.22 79724 12.66
1371.95 114403 8.77
1372.15 94695 10.64
1373.89 129377 7.75
1375.07 153433 6.54
1377.01 118802 8.47
1377.65 159851 6.29
1377.90 87615 11.49
1378.12 123107 8.13
1379.15 97586 10.31
1384.53 26678 38.46
1384.53 26678 38.46
1385.18 46870 21.74
1385.48 80912 12.50
1386.07 60338 16.67
1386.75 123999 8.13
1387.12 86263 11.63
1388.66 61388 16.39
1388.97 62126 16.13
1389.32 106141 9.43
1392.76 33533 30.30
1392.88 33533 30.30
1393.39 113955 8.85
1393.95 76120 13.16
1394.17 111384 9.01
1394.32 44858 22.73
1394.83 34313 29.41
1394.95 117910 8.55
1396.48 76693 13.16
1397.38 103947 9.71
1397.53 69548 14.49
1398.29 103010 9.71
1398.43 42702 23.81
1399.04 86336 11.63
1400.21 101118 9.90
1400.39 55692 18.18
1400.74 76859 13.16
1401.07 82582 12.20
1402.55 139345 7.19
1402.92 111446 9.01
1403.34 113041 8.85
1404.96 63647 15.87
1405.25 31151 32.26
1405.35 31151 32.26
1405.35 31151 32.26
1405.51 48767 20.83
1405.97 84533 11.90
1406.21 128367 7.81
1406.39 40669 25.00
1410.04 173424 5.78
1410.97 152049 6.58
1411.77 132253 7.58
1413.78 164843 6.10
1414.05 146069 6.85
1418.75 107779 9.35
1419.45 100009 10.00
1421.08 62892 16.13
1421.27 145154 6.90
1424.20 74783 13.51
1424.87 119907 8.40
1425.53 93835 10.75
1426.48 85819 11.76
1427.38 134643 7.46
1427.89 87040 11.49
1428.38 90091 11.11
1430.35 162359 6.17
1432.08 144090 6.94
1432.64 107583 9.35
1433.65 86368 11.63
1434.64 96147 10.42
1435.50 30445 33.33
1435.63 96072 10.42
1436.31 170675 5.88
1447.67 179377 5.59
