
70.04 133127 35 1181789 165531 30991
70.68 143134 47 986788 149104 30179
71.66 143909 47 954999 160124 17502
72.26 146475 46 1004937 188637 30760
72.91 138455 42 990880 164900 30610
73.56 126583 32 1121966 123183 30128
74.19 144973 55 746104 128544 28795
74.86 145871 55 766206 135516 30699
75.55 152580 59 835605 139118 20160
77.35 150370 49 955471 178142 31408
79.13 140607 43 1028414 165149 30354
82.05 107191 28 1140844 168695 30137
84.93 130239 39 1108634 146393 31046
85.66 110882 32 1163001 156227 30796
86.26 111115 33 1219528 147156 30773
86.86 117399 38 1021054 116579 30994
87.46 105543 26 1219562 139192 31065
88.28 124259 41 1113070 110727 31116
88.86 120400 38 1116842 128347 30653
89.44 127621 40 1198290 123544 31497
90.04 127612 40 1133612 127448 30986
90.63 104989 33 1073887 115251 31084
91.19 113168 34 1177436 157609 31195
92.19 139783 38 1170611 139586 31195
93.14 106871 33 990798 170087 30684
93.74 123768 31 971592 147523 30052
94.36 124208 36 1055690 133306 30752
94.96 110939 29 1155407 160162 30190
95.54 110045 36 1062853 134385 14930
98.41 103990 31 1029369 176447 15578
98.99 105053 29 1008540 162012 30535
99.52 99301 22 1224644 164470 26605
100.04 113128 32 1045568 165807 11945
100.60 131261 42 1080025 145316 31292
101.22 154545 59 894437 155431 17125
101.94 175854 61 936472 163495 17928
106.13 163966 53 1367339 206820 43042
109.31 220364 65 1516152 317824 19595
111.45 218024 64 1579160 300877 37547
112.51 223981 67 1468049 272194 17071
113.59 246961 67 1467422 292053 16405
115.76 181048 58 1183969 195248 12605
117.81 183339 57 1396390 199423 37222
118.66 184542 53 1493453 170108 37957
119.55 179040 55 1338442 214809 38344
120.36 161365 51 1356708 193827 37038
122.28 184096 54 1385948 216814 14628
123.17 188831 62 1303335 184603 29088
124.12 195105 63 1315837 192294 30087
125.08 177486 56 1382328 189379 29969
126.02 165517 47 1431946 224061 28865
126.97 178992 60 1363016 183899 19519
129.06 189233 64 1316862 247424 43770
130.04 195522 70 1281334 265426 42805
131.00 183812 69 1296753 254956 21140
131.93 183474 69 1346801 241296 42651
132.91 200075 69 1268171 249687 44221
135.04 231595 70 1358636 304428 31778
136.17 234238 73 1358608 311225 31009
137.29 216198 67 1281939 276347 45411
138.32 187808 69 1110663 215117 42975
139.26 173959 61 1112477 210530 42015
140.21 163027 63 1198747 171815 40225
141.13 172483 69 1036130 193396 35879
142.07 176476 65 1154932 216313 38188
144.10 168737 63 1082036 231979 40058
144.97 199591 64 1277109 255980 28243
145.93 141223 52 852834 139892 29162
146.69 154267 67 820136 144268 26982
147.39 162596 69 970223 174730 23427
148.13 165588 72 1091149 163251 28082
148.91 166347 69 1063429 167691 26939
149.70 159623 65 999178 155749 23952
150.54 164461 67 1109001 175080 37179
151.50 172030 68 1150040 177839 35623
152.50 175970 66 1168102 174033 33594
153.49 166739 65 1125728 172932 36474
154.53 173268 69 1163889 181839 34646
155.55 170108 62 1147394 175318 34618
156.56 172605 66 1191692 180725 27311
157.54 168768 60 1217147 196631 32102
158.52 174871 65 1185863 189226 36412
159.53 186861 59 1227926 236627 38593
160.56 141310 43 972249 172488 25701
161.39 151414 44 810844 135479 18739
162.30 166548 51 1321269 266967 35232
164.30 114434 24 1239970 162827 27950
166.16 148369 39 1206851 180809 31180
166.91 153857 43 1121895 190121 10863
169.96 159418 48 1390534 181103 35509
170.80 186914 61 1199983 225090 27748
172.79 176762 59 1286398 225600 39527
175.90 175161 61 1282090 208833 12281
178.95 178331 51 1304268 294706 36674
179.70 182827 52 1329850 280418 37794
181.58 200779 54 1419168 268388 11898
184.70 174248 52 1238113 242532 36453
187.76 178878 65 1212450 208076 39111
188.75 105485 42 882954 103549 27825
190.55 122269 19 2067804 233212 41699
191.37 131990 20 1983358 197992 42259
192.22 142178 29 1594646 248512 30441
193.00 128557 31 1333055 166729 34113
193.74 128464 20 1333417 151075 33283
7.41 167523 55 1903394 301642 35151
